ἐπάγω|ἐπί+ἄγω
ἐπαγωνίζομαι|ἐπί+ἀγωνίζομαι
ἐπαθροίζομαι|ἐπί+ἀθροίζομαι
ἐπαινέω|ἐπί+αἰνέω
ἐπαίρω|ἐπί+αἴρω
ἐπαισχύνομαι|ἐπί+αἰσχύνομαι
ἐπαιτέω|ἐπί+αἰτέω
ἐπακολουθέω|ἐπί+ἀκολουθέω
ἐπακούω|ἐπί+ἀκούω
ἐπακροάομαι|ἐπί+ἀκροάομαι
ἐπανάγω|ἐπί+ἀνά+ἄγω
ἐπαναμιμνῄσκω|ἐπί+ἀνά+μιμνῄσκω
ἐπαναπαύομαι|ἐπί+ἀνά+παύω
ἐπανέρχομαι|ἐπί+ἀνά+ἔρχομαι
ἐπανίσταμαι|ἐπί+ἀνά+ἵσταμαι
ἐπαρκέω|ἐπί+ἀρκέω
ἐπαφρίζω|ἐπί+ἀφρίζω
ἐπεγείρω|ἐπί+ἐγείρω
ἔπειμι|ἐπί+εἶμι
ἐπεισέρχομαι|ἐπί+εἰς+ἔρχομαι
ἐπεκτείνομαι|ἐπί+ἐκ+τείνω
ἐπενδύομαι|ἐπί+ἐν+δύω
ἐπέρχομαι|ἐπί+ἔρχομαι
ἐπερωτάω|ἐπί+ἐρωτάω
ἐπέχω|ἐπί+ἐχω
ἐπιβαίνω|ἐπί+βαίνω
ἐπιβάλλω|ἐπί+βάλλω
ἐπιβαρέω|ἐπί+βάρος
ἐπιβιβάζω|ἐπί+βιβάζω
ἐπιβλέπω|ἐπί+βλέπω
ἐπιγαμβρεύω|ἐπί+γαμβρός
ἐπιγίνομαι|ἐπί+γίνομαι
ἐπιγινώσκω|ἐπί+γινώσκω
ἐπιγράφω|ἐπί+γράφω
ἐπιδείκνυμι|ἐπί+δείκνυμι
ἐπιδέχομαι|ἐπί+δέχομαι
ἐπιδημέω|ἐπί+δημέω
ἐπιδιατάσσομαι|ἐπί+διατάσσομαι
ἐπιδίδωμι|ἐπί+δίδωμι
ἐπιδιορθόω|ἐπί+διά+ὀρθόω
ἐπιδύω|ἐπί+δύω
ἐπιζητέω|ἐπί+ζητέω
ἐπιθυμέω|ἐπί+θυμέω
ἐπικαθίζω|ἐπί+κατά+ἵζω
ἐπικαλέω|ἐπί+καλέω
ἐπικαλύπτω|ἐπί+καλύπτω
ἐπίκειμαι|ἐπί+κεῖμαι
